n,sum_delta,target,residual,chi
48,12.566370614358856,12.566370614359172,-3.161915174132446e-13,2
72,12.566370614358778,12.566370614359172,-3.943512183468556e-13,2
96,12.566370614358751,12.566370614359172,-4.2099657093785936e-13,2
128,12.566370614358323,12.566370614359172,-8.490985692333197e-13,2
160,12.566370614358332,12.566370614359172,-8.402167850363185e-13,2
192,12.566370614358334,12.566370614359172,-8.384404281969182e-13,2
