n,sum_delta_pi,target,residual,chi,q_min,min_angle_deg
48,6.2831853071793855,6.283185307179586,-2.007283228522283e-13,1,0.0033854432339289814,0.9744055137042199
72,6.283185307179165,6.283185307179586,-4.2099657093785936e-13,1,0.004384904512489792,0.32472322925526315
96,6.283185307179013,6.283185307179586,-5.728750807065808e-13,1,0.0009179097645881627,0.14391469133178836
128,6.283185307178855,6.283185307179586,-7.309708394132031e-13,1,0.0013263309075031578,0.7142236421162309
160,6.283185307178712,6.283185307179586,-8.739675649849232e-13,1,0.0005867462766883754,0.5024419553673307
192,6.283185307178686,6.283185307179586,-9.00612917575927e-13,1,0.00039461758787786883,0.35140719246412033
